MSFT,AAPL,AMZN
226.698747,121.82408,2997.856102
226.896487,121.913212,3000.27939
226.844604,122.007904,2991.99
226.098256,122.152363,3003.592139
226.498395,122.19774,3005.594241
226.582641,122.21806,3012.435852
226.556476,122.11031,3013.693457
226.750043,122.143021,3017.876206
226.808075,122.105314,3020.771044
226.508895,122.009721,3015.934384
226.975655,121.866431,3010.690479
227.127611,121.739984,3009.002062
226.96704,121.602844,3010.026257
227.0814,121.582493,3011.869638
226.861863,121.663341,3012.953302
226.578967,121.673444,3011.33305
226.930913,121.685176,3010.896519
226.972134,121.673593,3009.007068
226.691333,121.693475,3010.489276
226.50978,121.737568,3011.581479
226.821949,121.542156,3011.52391
227.127625,121.383522,3017.377593
226.668278,121.345443,3016.687946
227.115584,121.129498,3018.374001
226.130744,121.170785,3019.714775
226.179373,121.419692,3015.82086
226.231192,121.335452,3015.422527
226.626395,121.296503,3011.939217
226.625316,121.322805,3013.30702
226.501811,121.252537,3013.725792
226.755414,121.177135,3007.062293
226.642406,121.06411,3007.187225
226.488821,121.001539,3017.819491
226.581291,120.996301,3018.80224
226.76,120.950776,3018.959322
226.76,120.996604,3019.094045
226.755048,121.094236,3017.159228
226.250649,121.088969,3014.295527
226.197758,121.195986,3016.26792
226.031134,121.07696,3015.796264
226.196116,121.114365,3030.14013
226.430347,121.059663,3030.174673
226.873947,121.110182,3036.855892
226.805885,121.10141,3035.959191
226.596429,121.19707,3044.254405
226.885795,121.256081,3043.330145
227.063428,121.466989,3041.830229
227.207591,121.583025,3044.860202
227.292398,121.630103,3040.857943
227.02,121.594435,3044.291706
226.987205,121.426882,3042.479303
226.919902,121.513523,3037.592655
227.00226,121.446617,3035.002746
227.073691,121.428342,3030.131793
226.911948,121.489725,3026.743985
226.924977,121.418283,3023.96223
226.818738,121.386374,3017.969364
226.855514,121.286153,3013.018892
227.006417,121.294199,3010.243773
227.143018,121.220332,3011.178578
227.416364,121.210241,3015.159803
227.49723,121.211533,3021.655421
227.564013,121.167016,3015.089479
227.231479,121.180778,3016.010222
227.480954,121.198781,3010.475499
227.491628,121.181538,3005.823613
227.393351,121.166,3003.901363
227.304397,121.076941,3006.602571
227.246999,121.002799,3004.730881
227.207262,121.090634,3000.579642
227.066602,121.054075,3002.21434
227.090997,121.189281,3006.911893
227.098874,121.201417,3003.893488
227.093885,121.209714,2996.91518
227.116515,121.356245,2995.429868
227.098154,121.166918,2995.866105
227.105,121.102298,2988.716563
227.20383,121.031002,2992.095164
227.149667,121.015985,2994.534727
227.099066,120.931351,2993.061167
227.066878,120.89963,2990.671851
227.1,120.839097,2989.834974
227.041309,120.903744,2995.305766
227.084375,120.936014,3001.379612
227.094509,120.946368,2999.697892
227.092026,121.12891,2997.801125
