Date,Open,High,Low,Close,Volume,OpenInterest
2021-03-04T09:00:00Z,121.77,121.77,121.77,121.77,549,0
2021-03-04T09:01:00Z,121.78,122,121.78,122,3453,0
2021-03-04T09:02:00Z,122.06,122.06,122,122,2037,0
2021-03-04T09:03:00Z,122.1,122.25,122.1,122.25,931,0
2021-03-04T09:04:00Z,122.2,122.2,122.2,122.2,1199,0
2021-03-04T09:05:00Z,122.22,122.22,122.22,122.22,299,0
2021-03-04T09:06:00Z,122.13,122.13,122.1,122.11,967,0
2021-03-04T09:07:00Z,122.13,122.16,122.13,122.16,523,0
2021-03-04T09:08:00Z,122.16,122.16,122,122,2687,0
2021-03-04T09:09:00Z,122,122,122,122,3295,0
2021-03-04T09:11:00Z,121.87,121.87,121.87,121.87,580,0
2021-03-04T09:12:00Z,121.77,121.77,121.7,121.7,1854,0
2021-03-04T09:13:00Z,121.7,121.7,121.54,121.54,2947,0
2021-03-04T09:14:00Z,121.54,121.61,121.54,121.61,1063,0
2021-03-04T09:15:00Z,121.61,121.68,121.61,121.68,865,0
2021-03-04T09:16:00Z,121.69,121.69,121.65,121.67,2099,0
2021-03-04T09:17:00Z,121.69,121.69,121.68,121.69,1252,0
2021-03-04T09:18:00Z,121.68,121.68,121.67,121.67,821,0
2021-03-04T09:19:00Z,121.69,121.71,121.69,121.69,1105,0
2021-03-04T09:20:00Z,121.74,121.74,121.74,121.74,477,0
2021-03-04T09:21:00Z,121.65,121.65,121.46,121.46,2597,0
2021-03-04T09:22:00Z,121.42,121.42,121.32,121.32,1806,0
2021-03-04T09:23:00Z,121.34,121.34,121.34,121.34,1117,0
2021-03-04T09:24:00Z,121.22,121.22,121.03,121.03,2607,0
2021-03-04T09:25:00Z,121.19,121.2,121.06,121.19,2662,0
2021-03-04T09:26:00Z,121.31,121.61,121.2,121.58,2336,0
2021-03-04T09:27:00Z,121.35,121.35,121.34,121.34,1361,0
2021-03-04T09:28:00Z,121.32,121.32,121.32,121.32,449,0
2021-03-04T09:29:00Z,121.33,121.33,121.31,121.31,606,0
2021-03-04T09:30:00Z,121.31,121.31,121.15,121.15,2136,0
2021-03-04T09:31:00Z,121.2,121.2,121.07,121.07,3361,0
2021-03-04T09:32:00Z,121.11,121.11,121.05,121.05,1545,0
2021-03-04T09:33:00Z,121,121,121,121,2677,0
2021-03-04T09:34:00Z,121,121,121,121,2206,0
2021-03-04T09:35:00Z,120.93,121,120.93,121,786,0
2021-03-04T09:36:00Z,120.95,121.08,120.95,121,3678,0
2021-03-04T09:37:00Z,121.04,121.14,121.04,121.14,1126,0
2021-03-04T09:38:00Z,121.07,121.08,121.07,121.08,786,0
2021-03-04T09:39:00Z,121.18,121.2,121.18,121.2,4225,0
2021-03-04T09:42:00Z,121.12,121.12,121.07,121.07,3260,0
2021-03-04T09:43:00Z,121.1,121.12,121.1,121.12,1134,0
2021-03-04T09:46:00Z,121.06,121.06,121.06,121.06,415,0
2021-03-04T09:49:00Z,121.11,121.11,121.11,121.11,660,0
2021-03-04T09:51:00Z,121.11,121.11,121.11,121.11,468,0
2021-03-04T09:53:00Z,121.2,121.2,121.2,121.2,6064,0
2021-03-04T09:55:00Z,121.24,121.28,121.24,121.28,1439,0
2021-03-04T09:56:00Z,121.44,121.5,121.44,121.5,465,0
2021-03-04T09:57:00Z,121.58,121.58,121.56,121.56,1633,0
2021-03-04T09:58:00Z,121.65,121.65,121.65,121.65,487,0
2021-03-04T09:59:00Z,121.63,121.63,121.5,121.5,1265,0
2021-03-04T10:00:00Z,121.45,121.45,121.45,121.45,773,0
2021-03-04T10:01:00Z,121.47,121.57,121.47,121.57,1300,0
2021-03-04T10:02:00Z,121.5,121.5,121.5,121.5,405,0
2021-03-04T10:04:00Z,121.47,121.47,121.47,121.47,193,0
2021-03-04T10:05:00Z,121.48,121.48,121.48,121.48,255,0
2021-03-04T10:07:00Z,121.42,121.42,121.42,121.42,600,0
2021-03-04T10:08:00Z,121.4,121.4,121.4,121.4,342,0
2021-03-04T10:09:00Z,121.29,121.29,121.28,121.29,1175,0
2021-03-04T10:10:00Z,121.29,121.29,121.29,121.29,493,0
2021-03-04T10:13:00Z,121.22,121.22,121.21,121.21,752,0
2021-03-04T10:17:00Z,121.21,121.21,121.21,121.21,582,0
2021-03-04T10:18:00Z,121.21,121.22,121.2,121.2,1794,0
2021-03-04T10:19:00Z,121.17,121.17,121.17,121.17,486,0
2021-03-04T10:20:00Z,121.13,121.2,121.13,121.2,2429,0
2021-03-04T10:21:00Z,121.2,121.2,121.2,121.2,1854,0
2021-03-04T10:22:00Z,121.19,121.19,121.19,121.19,143,0
2021-03-04T10:23:00Z,121.19,121.19,121.19,121.19,330,0
2021-03-04T10:26:00Z,121.1,121.1,121.1,121.1,814,0
2021-03-04T10:27:00Z,121,121.01,121,121.01,2608,0
2021-03-04T10:28:00Z,121.01,121.14,121.01,121.14,1057,0
2021-03-04T10:29:00Z,121.05,121.05,121.05,121.05,292,0
2021-03-04T10:32:00Z,121.18,121.2,121.18,121.2,2836,0
2021-03-04T10:33:00Z,121.2,121.2,121.2,121.2,1701,0
2021-03-04T10:34:00Z,121.21,121.21,121.21,121.21,735,0
2021-03-04T10:35:00Z,121.39,121.49,121.25,121.25,1819,0
2021-03-04T10:36:00Z,121.21,121.21,121.15,121.15,730,0
2021-03-04T10:38:00Z,121.14,121.14,121.14,121.14,322,0
2021-03-04T10:40:00Z,121.03,121.03,121.03,121.03,549,0
2021-03-04T10:41:00Z,121.03,121.03,121.01,121.01,949,0
2021-03-04T10:42:00Z,120.92,120.92,120.92,120.92,459,0
