Date,Open,High,Low,Close,Volume,OpenInterest
2021-03-04T09:29:00Z,2998,2998,2998,2998,118,0
2021-03-04T09:31:00Z,3000,3000,3000,3000,508,0
2021-03-04T11:35:00Z,2991.99,2991.99,2991.99,2991.99,142,0
2021-03-04T12:00:00Z,3001.37,3001.37,3001.11,3001.11,664,0
2021-03-04T12:01:00Z,3004.73,3004.73,3004.73,3004.73,547,0
2021-03-04T12:12:00Z,3015,3015,3015,3015,863,0
2021-03-04T12:13:00Z,3014,3014,3014,3014,593,0
2021-03-04T12:18:00Z,3018.08,3018.08,3018.08,3018.08,456,0
2021-03-04T12:19:00Z,3020,3020,3020,3020,757,0
2021-03-04T12:24:00Z,3015.17,3015.17,3015.17,3015.17,203,0
2021-03-04T12:33:00Z,3011,3011,3010.21,3010.21,751,0
2021-03-04T12:34:00Z,3008.8,3008.8,3008.8,3008.8,325,0
2021-03-04T12:35:00Z,3010,3010.14,3010,3010.14,521,0
2021-03-04T12:41:00Z,3012.9,3012.9,3012.9,3012.9,276,0
2021-03-04T12:48:00Z,3013.4,3013.4,3013.4,3013.4,321,0
2021-03-04T12:53:00Z,3011.9,3011.9,3011.9,3011.9,141,0
2021-03-04T13:00:00Z,3010.2181,3022,3009,3009,3395,0
2021-03-04T13:04:00Z,3009,3009,3009,3009,266,0
2021-03-04T13:14:00Z,3011,3011,3010.2,3010.2,1008,0
2021-03-04T13:16:00Z,3011,3012.1,3011,3012.1,534,0
2021-03-04T13:20:00Z,3012,3012,3012,3012,578,0
2021-03-04T13:29:00Z,3017.4,3017.4,3017.4,3017.4,648,0
2021-03-04T13:33:00Z,3017,3017,3015.8128,3015.8128,370,0
2021-03-04T13:38:00Z,3017.79,3018.8,3017.79,3018.26,1967,0
2021-03-04T13:39:00Z,3020.99,3020.99,3019.4999,3020,1015,0
2021-03-04T13:53:00Z,3014.85,3017.5,3014.85,3017.5,523,0
2021-03-04T13:55:00Z,3013,3013,3013,3013,376,0
2021-03-04T14:05:00Z,3012,3012,3012,3012,306,0
2021-03-04T14:07:00Z,3012,3012,3012,3012,707,0
2021-03-04T14:12:00Z,3013.5993,3013.5993,3011.1596,3011.1596,751,0
2021-03-04T14:17:00Z,3016.44,3016.44,3016.44,3016.44,1779,0
2021-03-04T14:19:00Z,3016,3016,3016,3016,2009,0
2021-03-04T14:20:00Z,3018.94,3018.94,3017.5,3017.5,805,0
2021-03-04T14:21:00Z,3018.93,3018.93,3018.93,3018.93,250,0
2021-03-04T14:23:00Z,3018.9,3019,3018.9,3019,3199,0
2021-03-04T14:24:00Z,3019,3019,3019,3019,707,0
2021-03-04T14:25:00Z,3016.97,3016.97,3016.97,3016.97,790,0
2021-03-04T14:28:00Z,3015,3015,3015,3015,493,0
2021-03-04T14:29:00Z,3017.77,3017.77,3017.77,3017.77,262,0
2021-03-04T14:30:00Z,3012,3029.87,3012,3029.87,83173,0
2021-03-04T14:31:00Z,3029.52,3034.54,3025,3025,20536,0
2021-03-04T14:32:00Z,3024.41,3034.55,3024.41,3032.05,20850,0
2021-03-04T14:33:00Z,3032.805,3040,3031.975,3033,25114,0
2021-03-04T14:34:00Z,3032.88,3039,3032.09,3038.88,17260,0
2021-03-04T14:35:00Z,3038.8775,3048.69,3038.8775,3043.25,56380,0
2021-03-04T14:36:00Z,3043.56,3046.65,3038.79,3040.46,23910,0
2021-03-04T14:37:00Z,3040.74,3044.675,3038.735,3039.965,21989,0
2021-03-04T14:38:00Z,3040.005,3047.24,3039.97,3046.6,24263,0
2021-03-04T14:39:00Z,3045.455,3045.455,3035,3042.54,17382,0
2021-03-04T14:40:00Z,3042.6,3047.26,3041.01,3046.45,20401,0
2021-03-04T14:41:00Z,3045.03,3047.25,3039.06,3040.4299,13989,0
2021-03-04T14:42:00Z,3038.835,3040.43,3034.44,3035.0501,22437,0
2021-03-04T14:43:00Z,3035.61,3041.195,3028.1026,3028.1026,19688,0
2021-03-04T14:44:00Z,3027.11,3035.4649,3027.11,3029.9146,14655,0
2021-03-04T14:45:00Z,3028.9211,3031.96,3021.21,3022.01,19091,0
2021-03-04T14:46:00Z,3022.38,3028.605,3020.12,3020.12,16439,0
2021-03-04T14:47:00Z,3021.42,3021.42,3014.09,3014.09,26794,0
2021-03-04T14:48:00Z,3015.5,3017.28,3010,3010,15828,0
2021-03-04T14:49:00Z,3010.21,3013.66,3008.0001,3008.5,16891,0
2021-03-04T14:50:00Z,3007.22,3014.98,3007.22,3014.44,18253,0
2021-03-04T14:51:00Z,3014.25,3018.74,3011.67,3018.74,21181,0
2021-03-04T14:52:00Z,3018.5275,3025.36,3013.601,3013.636,27007,0
2021-03-04T14:53:00Z,3011.05,3017.7935,3011.05,3017.076,11179,0
2021-03-04T14:54:00Z,3017.35,3019.385,3011.6,3013.51,13052,0
2021-03-04T14:55:00Z,3011.62,3014.97,3007.19,3007.19,12013,0
2021-03-04T14:56:00Z,3007.05,3009.915,3003.5,3003.5,18717,0
2021-03-04T14:57:00Z,3003,3009.705,3000.975,3006,17920,0
2021-03-04T14:58:00Z,3005.17,3009.8219,3004.94,3005.12,9541,0
2021-03-04T14:59:00Z,3005.12,3007.44,3003.1,3003.37,15211,0
2021-03-04T15:00:00Z,3003.66,3006.55,2995.77,3005.95,33804,0
2021-03-04T15:01:00Z,3004.49,3014,2997.3,3002,19845,0
2021-03-04T15:02:00Z,3003.436,3011.1673,3001.895,3011.1673,21062,0
2021-03-04T15:03:00Z,3007.02,3008.13,3000.8,3001,10848,0
2021-03-04T15:04:00Z,3000.995,3000.995,2993.74,2996.5799,24085,0
2021-03-04T15:05:00Z,2996.55,2999.8726,2992.6601,2994.98,17057,0
2021-03-04T15:06:00Z,2998.54,2998.98,2993.0707,2993.0707,11844,0
2021-03-04T15:07:00Z,2995.05,2995.05,2985.24,2988.453,42666,0
2021-03-04T15:08:00Z,2989.76,2998.97,2988.4,2997.825,19103,0
2021-03-04T15:09:00Z,2997.05,2998.22,2991.73,2993.44,16554,0
2021-03-04T15:10:00Z,2993.12,2996.99,2989.8501,2992,10497,0
