Date,Open,High,Low,Close,Volume,OpenInterest
2021-03-04T09:25:00Z,226.7,226.7,226.7,226.7,798,0
2021-03-04T09:26:00Z,226.7,227.25,226.7,226.95,5150,0
2021-03-04T09:31:00Z,226.87,226.87,226.87,226.87,265,0
2021-03-04T09:33:00Z,226.31,226.31,226.03,226.03,1290,0
2021-03-04T09:35:00Z,226.48,226.51,226.48,226.5,698,0
2021-03-04T09:36:00Z,226.58,226.58,226.58,226.58,284,0
2021-03-04T09:39:00Z,226.55,226.55,226.55,226.55,105,0
2021-03-04T09:42:00Z,226.8,226.82,226.8,226.82,701,0
2021-03-04T09:43:00Z,226.81,226.81,226.81,226.81,187,0
2021-03-04T09:44:00Z,226.59,226.59,226.5,226.5,3195,0
2021-03-04T09:57:00Z,226.87,227,226.87,227,1892,0
2021-03-04T09:59:00Z,227.11,227.11,227.11,227.11,561,0
2021-03-04T10:00:00Z,227,227,227,227,706,0
2021-03-04T10:01:00Z,227.18,227.18,226.9,226.9,650,0
2021-03-04T10:10:00Z,226.9,226.9,226.9,226.9,467,0
2021-03-04T10:16:00Z,226.55,226.55,226.55,226.55,213,0
2021-03-04T10:20:00Z,226.91,226.97,226.91,226.97,515,0
2021-03-04T10:21:00Z,226.97,226.97,226.97,226.97,239,0
2021-03-04T10:26:00Z,226.67,226.67,226.67,226.67,240,0
2021-03-04T10:31:00Z,226.52,226.52,226.52,226.52,227,0
2021-03-04T10:32:00Z,226.78,226.9,226.78,226.9,1401,0
2021-03-04T10:33:00Z,227.07,227.32,227.07,227.32,838,0
2021-03-04T10:34:00Z,226.71,226.71,226.61,226.61,302,0
2021-03-04T10:35:00Z,227.12,227.14,227.12,227.14,505,0
2021-03-04T10:44:00Z,226.14,226.14,226.14,226.14,1022,0
2021-03-04T10:46:00Z,226.14,226.2,226.14,226.2,303,0
2021-03-04T10:47:00Z,226.25,226.25,226.2,226.2,646,0
2021-03-04T10:51:00Z,226.62,226.62,226.62,226.62,344,0
2021-03-04T10:53:00Z,226.62,226.62,226.62,226.62,1676,0
2021-03-04T10:54:00Z,226.5,226.5,226.5,226.5,2336,0
2021-03-04T10:55:00Z,226.8,226.8,226.8,226.8,266,0
2021-03-04T11:00:00Z,226.5,226.5,226.5,226.5,212,0
2021-03-04T11:02:00Z,226.5,226.5,226.5,226.5,577,0
2021-03-04T11:07:00Z,226.49,226.49,226.49,226.49,457,0
2021-03-04T11:10:00Z,226.76,226.76,226.76,226.76,1799,0
2021-03-04T11:11:00Z,226.76,226.76,226.76,226.76,160,0
2021-03-04T11:12:00Z,226.76,226.76,226.76,226.76,1462,0
2021-03-04T11:13:00Z,226.25,226.25,226.2,226.2,955,0
2021-03-04T11:14:00Z,226.2,226.2,226.2,226.2,1896,0
2021-03-04T11:19:00Z,226.03,226.03,226.03,226.03,573,0
2021-03-04T11:22:00Z,226.2,226.2,226.2,226.2,932,0
2021-03-04T11:23:00Z,226.29,226.5,226.29,226.5,2507,0
2021-03-04T11:40:00Z,226.99,226.99,226.79,226.79,418,0
2021-03-04T11:41:00Z,226.79,226.79,226.79,226.79,209,0
2021-03-04T11:47:00Z,226.61,226.61,226.61,226.61,252,0
2021-03-04T11:48:00Z,226.95,226.95,226.95,226.95,302,0
2021-03-04T11:51:00Z,226.99,227.29,226.99,227.29,773,0
2021-03-04T11:52:00Z,227.29,227.29,227.29,227.29,328,0
2021-03-04T11:55:00Z,227.29,227.29,227.29,227.29,171,0
2021-03-04T11:57:00Z,227.02,227.02,227.02,227.02,393,0
2021-03-04T12:00:00Z,227.02,227.02,227,227,2197,0
2021-03-04T12:01:00Z,227.01,227.01,227.01,227.01,508,0
2021-03-04T12:02:00Z,227,227.02,227,227.02,2372,0
2021-03-04T12:04:00Z,227.16,227.17,227,227,1642,0
2021-03-04T12:05:00Z,227,227,226.85,226.85,616,0
2021-03-04T12:07:00Z,226.92,226.92,226.92,226.92,215,0
2021-03-04T12:08:00Z,226.85,226.85,226.74,226.74,1292,0
2021-03-04T12:09:00Z,226.79,226.99,226.79,226.98,1614,0
2021-03-04T12:10:00Z,226.98,227,226.98,227,374,0
2021-03-04T12:13:00Z,227.15,227.15,227.15,227.15,603,0
2021-03-04T12:15:00Z,227.42,227.42,227.42,227.42,616,0
2021-03-04T12:16:00Z,227.48,227.5,227.48,227.5,1029,0
2021-03-04T12:17:00Z,227.56,227.6,227.55,227.57,2791,0
2021-03-04T12:18:00Z,227.4,227.4,227.07,227.07,507,0
2021-03-04T12:19:00Z,227.44,227.5,227.44,227.5,1614,0
2021-03-04T12:20:00Z,227.5,227.52,227.5,227.52,768,0
