Date,Open,High,Low,Close,Volume,OpenInterest
2021-06-10T13:07:00Z,12.49,12.49,12.49,12.49,330,0
2021-06-10T13:11:00Z,12.22,12.22,12.22,12.22,500,0
2021-06-10T13:30:00Z,11.49,11.49,11.4,11.4,4157,0
2021-06-10T13:31:00Z,11.35,11.35,11.24,11.25,2120,0
2021-06-10T13:34:00Z,11.6912,11.6912,11.53,11.53,754,0
2021-06-10T13:35:00Z,11.68,11.68,11.68,11.68,475,0
2021-06-10T13:36:00Z,11.38,11.44,11.38,11.44,580,0
2021-06-10T13:37:00Z,11.39,11.6,11.38,11.4075,4349,0
2021-06-10T13:38:00Z,11.5,11.5,11.5,11.5,245,0
2021-06-10T13:39:00Z,11.33,11.33,11.33,11.33,215,0
2021-06-10T13:40:00Z,11.33,11.33,11.33,11.33,111,0
2021-06-10T13:41:00Z,11.4382,11.4382,11.4382,11.4382,2197,0
2021-06-10T13:42:00Z,11.4,11.4456,11.3423,11.4456,499,0
2021-06-10T13:43:00Z,11.4,11.45,11.33,11.33,3746,0
2021-06-10T13:44:00Z,11.33,11.4311,11.33,11.33,1173,0
2021-06-10T13:46:00Z,11.33,11.4321,11.33,11.3948,1215,0
2021-06-10T13:47:00Z,11.33,11.35,11.26,11.3,10681,0
2021-06-10T13:48:00Z,11.3,11.44,11.2947,11.36,4450,0
2021-06-10T13:51:00Z,11.3,11.3,11.3,11.3,250,0
2021-06-10T13:54:00Z,11.42,11.42,11.42,11.42,100,0
2021-06-10T13:57:00Z,11.3,11.3,11.3,11.3,151,0
2021-06-10T13:58:00Z,11.23,11.23,11.23,11.23,499,0
2021-06-10T13:59:00Z,11.27,11.28,11.23,11.23,1535,0
2021-06-10T14:01:00Z,11.2,11.3,11.2,11.3,1000,0
2021-06-10T14:02:00Z,11.15,11.15,11.13,11.13,378,0
2021-06-10T14:04:00Z,11.1301,11.1301,11.13,11.13,2100,0
2021-06-10T14:05:00Z,11.18,11.18,11.18,11.18,180,0
2021-06-10T14:06:00Z,11.1601,11.1601,11.14,11.14,3037,0
2021-06-10T14:07:00Z,11.06,11.06,11.06,11.06,100,0
2021-06-10T14:08:00Z,11.04,11.16,11.01,11.16,2402,0
2021-06-10T14:09:00Z,11.14,11.14,11.1,11.1,450,0
2021-06-10T14:10:00Z,11.164,11.164,11.13,11.13,1437,0
2021-06-10T14:11:00Z,11.1493,11.1799,11.1493,11.1799,706,0
2021-06-10T14:12:00Z,11.18,11.18,11.15,11.15,279,0
2021-06-10T14:13:00Z,11.15,11.15,11.15,11.15,100,0
2021-06-10T14:14:00Z,11.165,11.2,11.165,11.2,1369,0
2021-06-10T14:17:00Z,11.4,11.4131,11.4,11.4131,915,0
2021-06-10T14:18:00Z,11.345,11.345,11.345,11.345,104,0
2021-06-10T14:19:00Z,11.3942,11.3942,11.3942,11.3942,100,0
2021-06-10T14:21:00Z,11.44,11.4716,11.44,11.4716,1000,0
2021-06-10T14:23:00Z,11.4,11.4,11.4,11.4,762,0
2021-06-10T14:25:00Z,11.35,11.35,11.35,11.35,225,0
2021-06-10T14:30:00Z,11.4,11.4,11.4,11.4,1470,0
2021-06-10T14:31:00Z,11.45,11.45,11.4499,11.4499,487,0
2021-06-10T14:32:00Z,11.45,11.45,11.45,11.45,205,0
